Tabela 2.1 - Rendimento domiciliar per capita médio e mediano, por sexo e cor ou raça, segundo as Grandes Regiões, as Unidades da Federação e os Municípios das Capitais - Brasil - 2024;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Grandes Regiões, Unidades da Federação e Municípios das Capitais;Rendimento domiciliar per capita das pessoas (R$);;;;;;;;;;;;;;;;;;;;;
;Total;;Sexo;;;;Cor ou raça ;;;;;;;;Sexo e cor ou raça;;;;;;;
;;;Homem;;Mulher;;Branca;;Parda;;Preta;;Preta ou parda;;Homem branco;;Homem preto ou pardo;;Mulher branca;;Mulher preta ou parda;
;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano
São Luís;  1 690 ;   946 ;  1 848 ;   997 ;  1 552 ;   922 ;  2 214 ;  1 412 ;  1 623 ;   891 ;  1 269 ;   876 ;  1 547 ;   887 ;  2 434 ;  1 503 ;  1 692 ;   926 ;  2 037 ;  1 391 ;  1 414 ;   843 
Piauí;  1 351 ;   858 ;  1 356 ;   860 ;  1 346 ;   855 ;  1 773 ;   989 ;  1 253 ;   820 ;  1 188 ;   846 ;  1 244 ;   826 ;  1 749 ;   990 ;  1 250 ;   835 ;  1 799 ;   987 ;  1 238 ;   820 
Teresina;  2 058 ;  1 140 ;  2 131 ;  1 121 ;  1 997 ;  1 160 ;  2 637 ;  1 438 ;  1 971 ;  1 125 ;  1 364 ;   951 ;  1 873 ;  1 107 ;  2 869 ;  1 481 ;  1 895 ;  1 070 ;  2 442 ;  1 435 ;  1 855 ;  1 126 
Ceará;  1 202 ;   792 ;  1 203 ;   797 ;  1 202 ;   786 ;  1 648 ;  1 004 ;  1 042 ;   720 ;  1 183 ;   862 ;  1 054 ;   725 ;  1 607 ;   948 ;  1 078 ;   751 ;  1 685 ;  1 058 ;  1 031 ;   717 
Fortaleza;  1 756 ;  1 020 ;  1 768 ;  1 031 ;  1 746 ;  1 017 ;  2 475 ;  1 498 ;  1 411 ;   912 ;  1 626 ;  1 099 ;  1 433 ;   929 ;  2 414 ;  1 467 ;  1 493 ;   957 ;  2 528 ;  1 597 ;  1 380 ;   873 
Rio Grande do Norte;  1 552 ;   939 ;  1 610 ;   956 ;  1 498 ;   923 ;  1 869 ;  1 038 ;  1 410 ;   896 ;  1 078 ;   864 ;  1 359 ;   890 ;  2 013 ;  1 062 ;  1 365 ;   928 ;  1 738 ;  1 011 ;  1 354 ;   855 
Natal;  2 549 ;  1 408 ;  2 794 ;  1 428 ;  2 325 ;  1 338 ;  3 141 ;  1 531 ;  2 253 ;  1 337 ;  1 515 ;  1 144 ;  2 141 ;  1 269 ;  3 436 ;  1 683 ;  2 349 ;  1 408 ;  2 870 ;  1 466 ;  1 953 ;  1 097 
Paraíba;  1 377 ;   864 ;  1 398 ;   885 ;  1 357 ;   845 ;  1 756 ;  1 030 ;  1 174 ;   769 ;  1 221 ;   847 ;  1 179 ;   785 ;  1 765 ;  1 028 ;  1 217 ;   798 ;  1 748 ;  1 030 ;  1 139 ;   762 
João Pessoa;  2 419 ;  1 396 ;  2 489 ;  1 409 ;  2 355 ;  1 369 ;  3 149 ;  1 877 ;  1 911 ;  1 157 ;  1 762 ;  1 088 ;  1 892 ;  1 149 ;  3 245 ;  1 913 ;  2 000 ;  1 190 ;  3 070 ;  1 840 ;  1 784 ;  1 086 
Pernambuco;  1 407 ;   829 ;  1 444 ;   850 ;  1 374 ;   814 ;  1 872 ;  1 020 ;  1 170 ;   728 ;  1 195 ;   852 ;  1 174 ;   748 ;  1 939 ;  1 024 ;  1 204 ;   758 ;  1 814 ;  1 016 ;  1 146 ;   735 
